index,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
569,ROOFTOP,"3838 Bloor St W, Etobicoke, ON M9B 1L1, Canada",ChIJBwXdPZY3K4gRboyXUKHcejM,"3838 Bloor St W, Toronto, Ontario, Canada",43.6412569,-79.5388823,1,M9B 1L1,OK,street_address
570,ROOFTOP,"2245 Lawrence Ave W, Etobicoke, ON M9P 3W3, Canada",ChIJB94cI84wK4gRFJ9ooseyQ9c,"2245 Lawrence Ave W, Toronto, Ontario, Canada",43.6968243,-79.5262318,1,M9P 3W3,OK,street_address
571,ROOFTOP,"3015 Lawrence Ave E, Scarborough, ON M1P 2V7, Canada",ChIJubZufszR1IkRp1Y1dHuLQVI,"3015 Lawrence Ave E - 1st & 2nd Fl, Toronto, Ontario, Canada",43.754685,-79.2479118,1,M1P 2V7,OK,"establishment,health,point_of_interest"
572,ROOFTOP,"3560 Bathurst St, North York, ON M6A 2X8, Canada",ChIJKURLaVoyK4gRbiab7ANPv2E,"3560 Bathurst St, Toronto, Ontario, Canada",43.7300629,-79.43421,1,M6A 2X8,OK,street_address
573,ROOFTOP,"102 Craiglee Dr, Scarborough, ON M1N 2M8, Canada",ChIJhWtf4VbO1IkRizZpemVw5Qk,"102 Craiglee Dr, Toronto, Ontario, Canada",43.7068564,-79.2532899,1,M1N 2M8,OK,street_address
574,,,,"3050 Lawrence Ave E - CP1, Toronto, Ontario, Canada",43.7561929,-79.2469386,0,M1P 2V5,Manual,
575,ROOFTOP,"140 Sherway Dr, Etobicoke, ON M9C 1A4, Canada",ChIJ9Q6BFf1HK4gRs8-Vzfq7CZc,"140 Sherway Dr, Toronto, Ontario, Canada",43.6100558,-79.562099,1,M9C 1A4,OK,street_address
576,ROOFTOP,"1000 Ellesmere Rd, Scarborough, ON M1P 2W8, Canada",ChIJ14zRHZLR1IkRhW8wAES8ACY,"1000 Ellesmere Rd, Toronto, Ontario, Canada",43.7670757,-79.277839,1,M1P 2W8,OK,street_address
577,ROOFTOP,"140 Sherway Dr, Etobicoke, ON M9C 1A4, Canada",ChIJ9Q6BFf1HK4gRs8-Vzfq7CZc,"140 Sherway Dr, Toronto, Ontario, Canada",43.6100558,-79.562099,1,M9C 1A4,OK,street_address
578,ROOFTOP,"500 Kingston Rd, Toronto, ON M4L 1V3, Canada",ChIJMVGplw_M1IkR-BqsgPR1XSQ,"500 Kingston Rd, Toronto, Ontario, Canada",43.6779947,-79.3027374,1,M4L 1V3,OK,street_address
579,ROOFTOP,"215 Tyrrel Ave, Toronto, ON M6G 4A9, Canada",ChIJm2n4D3w0K4gRSZN5zgJefgY,"215 Tyrrell Ave, Toronto, Ontario, Canada",43.6767854,-79.4303386,1,M6G 4A9,OK,street_address
580,ROOFTOP,"3555 Kingston Rd, Scarborough, ON M1M 3W4, Canada",ChIJZ3S2uR3Q1IkRIH67nYQmjOg,"3555 Kingston Rd, Toronto, Ontario, Canada",43.7393976,-79.215243,1,M1M 3W4,OK,premise
581,ROOFTOP,"5935 Bathurst St, North York, ON M2R 1Y8, Canada",ChIJqQQz3L4tK4gRLjJ25KvkPAo,"5935 Bathurst St, Toronto, Ontario, Canada",43.7819319,-79.4446646,1,M2R 1Y8,OK,street_address
582,ROOFTOP,"2339 Dufferin St, York, ON M6E 4Z5, Canada",ChIJrU-REO0zK4gRtdY_RSg0kZA,"2339 Dufferin St - TCP & RIU, Toronto, Ontario, Canada",43.6947479,-79.4494731,1,M6E 4Z5,OK,"establishment,health,point_of_interest"
583,ROOFTOP,"2339 Dufferin St, York, ON M6E 4Z5, Canada",ChIJg2NeFO0zK4gRqUXclodj1GI,"2339 Dufferin St, Toronto, Ontario, Canada",43.694771,-79.4494602,1,M6E 4Z5,OK,premise
584,ROOFTOP,"10 Senlac Rd, North York, ON M2N 1N3, Canada",ChIJuZCNpn8tK4gRINCNZLH7Q0E,"10 Senlac Rd, Toronto, Ontario, Canada",43.7594235,-79.423487,1,M2N 1N3,OK,premise
585,ROOFTOP,"914 Bathurst St, Toronto, ON M5R 3G5, Canada",ChIJPYf6tZE0K4gRc96ZbEc3MV8,"914 Bathurst St, Toronto, Ontario, Canada",43.6682935,-79.4127583,1,M5R 3G5,OK,street_address
586,ROOFTOP,"2045 Finch Ave W, North York, ON M3N 1M9, Canada",ChIJb30w8DEwK4gR-fUL_UMaKhA,"2045 Finch Ave W, Toronto, Ontario, Canada",43.7562266,-79.521465,1,M3N 1M9,OK,street_address
587,ROOFTOP,"1066 Avenue Rd, Toronto, ON M5N 0A3, Canada",ChIJxR7ZGREzK4gR_ISpOPLISF4,"1066 Avenue Rd, Toronto, Ontario, Canada",43.7058269,-79.4102128,1,M5N 0A3,OK,premise
